CNPJ Industria;Razao Social;Nome Fantasia;Codigo Interno;Nome do representante;Telefone do representante;E-mail do representante;WhatsApp do representante;Segmento;Faturamento
43.940.618/0001-44;ELI LILLY;ELI LILLY;5725;;;;;;
43.940.618/0001-44;ELI LILLY (G);ELI LILLY (G);5725;;;;;;
57.507.378/0003-65;EMS - GENERICO I;EMS - GENERICO I;7279;;;;;;
05.976.534/0001-71;EMS - GENERICO II;EMS - GENERICO II;7279;;;;;;
57.507.378/0014-18;EMS - GENERICO III;EMS - GENERICO III;7279;;;;;;
57.507.378/0003-65;EMS - MARCAS I;EMS - MARCAS I;9486;;;;;;
57.507.378/0014-18;EMS - MARCAS II;EMS - MARCAS II;9486;;;;;;
57.507.378/0003-65;EMS - OTC I;EMS - OTC I;9118;;;;;;
57.507.378/0014-18;EMS - OTC II;EMS - OTC II;9118;;;;;;
08.775.311/0002-15;EMS - OTC LUXBIOTECH;EMS - OTC LUXBIOTECH;9118;;;;;;
92.265.552/0001-40;EMS - OTC MULTILAB;EMS - OTC MULTILAB;9118;;;;;;
57.507.378/0003-65;EMS - PRESCRICAO I;EMS - PRESCRICAO I;7951;;;;;;
45.992.062/0001-65;EMS - PRESCRICAO II;EMS - PRESCRICAO II;7951;;;;;;
57.507.378/0014-18;EMS - PRESCRICAO III;EMS - PRESCRICAO III;7951;;;;;;
08.775.311/0002-15;EMS - PRESCRICAO LUXBIOTECH;EMS - PRESCRICAO LUXBIOTECH;7951;;;;;;
57.507.378/0014-18;EMS (G);EMS (G);7951;;;;;;
72.899.016/0005-12;ESSITY I;ESSITY I;8876;;;;;;
54.858.014/0009-27;ESSITY II;ESSITY II;8876;;;;;;
03.448.548/0001-97;EUROART;EUROART;5814;;;;;;
61.190.096/0008-69;EUROFARMA - GENERICO I;EUROFARMA - GENERICO I;8254;;;;;;
61.190.096/0016-79;EUROFARMA - GENERICO II;EUROFARMA - GENERICO II;8254;;;;;;
61.190.096/0022-17;EUROFARMA - GENERICO III;EUROFARMA - GENERICO III;8254;;;;;;
61.190.096/0016-79;EUROFARMA - OTC I;EUROFARMA - OTC I;8253;;;;;;
61.190.096/0016-79;EUROFARMA - OTC II;EUROFARMA - OTC II;8253;;;;;;
61.190.096/0016-79;EUROFARMA - RX I;EUROFARMA - RX I;9136;;;;;;
61.190.096/0008-69;EUROFARMA - RX II;EUROFARMA - RX II;9136;;;;;;
61.190.096/0016-79;EUROFARMA (G);EUROFARMA (G);9136;;;;;;
61.190.096/0016-79;EUROFARMA OAZ - HB;EUROFARMA OAZ - HB;8253;;;;;;
19.136.432/0002-33;EXELTIS;EXELTIS;9133;;;;;;
47.291.565/0001-39;FARMAX - HB;FARMAX - HB;9434;;;;;;
47.291.565/0001-39;FARMAX - MED;FARMAX - MED;9434;;;;;;
03.594.123/0009-43;FINI COMPANY;FINI COMPANY;9154;;;;;;
07.489.498/0006-51;GALDERMA - LIBERADOS;GALDERMA - LIBERADOS;5906;;;;;;
07.489.498/0004-90;GALDERMA - RX;GALDERMA - RX;5906;;;;;;
12.134.906/0002-69;GEDEON;GEDEON;9429;;;;;;
09.080.907/0005-06;GENOMMA - HB I;GENOMMA - HB I;8891;;;;;;
09.080.907/0005-06;GENOMMA - MED I;GENOMMA - MED I;8792;;;;;;
60.698.771/0001-26;GENOMMA - MED II;GENOMMA - MED II;8792;;;;;;
03.485.572/0001-04;GEOLAB - OFTA;GEOLAB - OFTA;9426;;;;;;
03.485.572/0001-04;GEOLAB - OFTA (G);GEOLAB - OFTA (G);9426;;;;;;
45.992.062/0001-65;GERMED - GENERICO I;GERMED - GENERICO I;6569;;;;;;
57.507.378/0003-65;GERMED - GENERICO II;GERMED - GENERICO II;6569;;;;;;
05.976.534/0001-71;GERMED - GENERICO III;GERMED - GENERICO III;6569;;;;;;
57.507.378/0014-18;GERMED - GENERICO IV;GERMED - GENERICO IV;6569;;;;;;
21.998.451/0013-73;GIOVANNA BABY;GIOVANNA BABY;9483;;;;;;
44.363.661/0005-80;GLENMARK;GLENMARK;8256;;;;;;
17.115.437/0001-73;GLOBO PHARMA - GENERICO;GLOBO PHARMA - GENERICO;9491;;;;;;
17.115.437/0001-73;GLOBO PHARMA - SIMILARES;GLOBO PHARMA - SIMILARES;9491;;;;;;
04.247.792/0001-54;GRANADO - HB;GRANADO - HB;7004;;;;;;
04.247.792/0001-54;GRANADO - MED;GRANADO - MED;6728;;;;;;
43.112.531/0006-93;GRECIN - ADVERTISING;GRECIN - ADVERTISING;9544;;;;;;
33.145.194/0001-72;GROSS;GROSS;6359;;;;;;
01.564.260/0001-52;GROSS - WASSER;GROSS - WASSER;6359;;;;;;
10.555.143/0003-85;GRUNENTHAL;GRUNENTHAL;8945;;;;;;
33.247.743/0044-50;GSK - RX;GSK - RX;6070;;;;;;
33.247.743/0044-50;GSK (G);GSK (G);6070;;;;;;
33.247.743/0035-69;GSK RX (G);GSK RX (G);6070;;;;;;
21.892.032/0006-23;HALEON - HB;HALEON - HB;7297;;;;;;
21.892.032/0006-23;HALEON - OTC;HALEON - OTC;7297;;;;;;
04.792.134/0001-43;HEBRON;HEBRON;8670;;;;;;
49.383.250/0001-47;HISAMITSU;HISAMITSU;5968;;;;;;
10.817.114/0003-44;ISDIN;ISDIN;8737;;;;;;
45.694.447/0003-08;KENVUE - JOHNSON HB;KENVUE - JOHNSON HB;6179;;;;;;
45.694.447/0003-08;KENVUE - JOHNSON OTC;KENVUE - JOHNSON OTC;6179;;;;;;
45.694.447/0003-08;KENVUE - JOHNSON SOLAR;KENVUE - JOHNSON SOLAR;6179;;;;;;
02.290.277/0023-37;KIMBERLY;KIMBERLY;6302;;;;;;
14.408.399/0001-59;KLEY HERTZ;KLEY HERTZ;8131;;;;;;
51.172.880/0001-14;KUKA;KUKA;6299;;;;;;
57.507.378/0003-65;LEGRAND - SIMILARES I;LEGRAND - SIMILARES I;9118;;;;;;
05.976.534/0001-71;LEGRAND - SIMILARES II;LEGRAND - SIMILARES II;9118;;;;;;
61.230.314/0009-22;LIBBS;LIBBS;6376;;;;;;
05.207.076/0002-97;LINEA;LINEA;9152;;;;;;
30.278.428/0003-23;LOREAL - DPGP - HB;LOREAL - DPGP - HB;8059;;;;;;
30.278.428/0003-23;LOREAL - DPGP - SOLAR;LOREAL - DPGP - SOLAR;8059;;;;;;
30.278.428/0003-23;LOREAL - LBD - DERMO;LOREAL - LBD - DERMO;7821;;;;;;
30.278.428/0003-23;LOREAL - LBD - SOLAR;LOREAL - LBD - SOLAR;7821;;;;;;
60.726.692/0001-81;MARJAN;MARJAN;9400;;;;;;
10.351.637/0002-67;MEAD JOHNSON;MEAD JOHNSON;8617;;;;;;
10.588.595/0010-92;MEDLEY - GENERICO I;MEDLEY - GENERICO I;6343;;;;;;
10.588.595/0013-35;MEDLEY - GENERICO II;MEDLEY - GENERICO II;6343;;;;;;
10.588.595/0010-92;MEDLEY - RX I;MEDLEY - RX I;6343;;;;;;
33.026.055/0007-15;MEGALABS - BAYER RX;MEGALABS - BAYER RX;6355;;;;;;
92.670.801/0001-82;MEGALABS - GEYER;MEGALABS - GEYER;6355;;;;;;
33.026.055/0007-15;MEGALABS - LIBERADOS;MEGALABS - LIBERADOS;6355;;;;;;
33.026.055/0007-15;MEGALABS - OTC;MEGALABS - OTC;6355;;;;;;
04.781.843/0014-48;MEMPHIS;MEMPHIS;9246;;;;;;
33.069.212/0012-37;MERCK - GENERICO;MERCK - GENERICO;6515;;;;;;
33.069.212/0012-37;MERCK - GLIFAGE;MERCK - GLIFAGE;6515;;;;;;
33.069.212/0012-37;MERCK - RX;MERCK - RX;6515;;;;;;
61.367.827/0001-22;MERHEJE - CUTELARIA;MERHEJE - CUTELARIA;8619;;;;;;
84.683.382/0003-57;MINANCORA;MINANCORA;6489;;;;;;
61.190.096/0016-79;MOMENTA I;MOMENTA I;9138;;;;;;
07.159.913/0004-47;MULTISAUDE;MULTISAUDE;9230;;;;;;
08.160.941/0001-02;LABORAT EXPANSCIENCE COM IMP EXP PROD P/ SAUDE LT;MUSTELA EXPANSCIENCE BRASIL;9057;;;;;;
17.440.261/0003-97;MYRALIS;MYRALIS;8281;;;;;;
17.440.261/0003-97;MYRALIS (G);MYRALIS (G);8281;;;;;;
02.456.955/0001-83;NATULAB;NATULAB;9210;;;;;;
02.932.074/0042-60;NEOQUIMICA - GENERICO;NEOQUIMICA - GENERICO;8790;;;;;;
02.932.074/0058-27;HYPERA SA;NEOQUIMICA SIMILARES;8790;;;;;;
60.409.075/0446-05;NESTLE - HB;NESTLE - HB;6560;;;;;;
60.409.075/0446-05;NESTLE - MED;NESTLE - MED;6560;;;;;;
72.593.791/0001-11;NOVA QUIMICA;NOVA QUIMICA;8697;;;;;;
56.994.502/0098-62;NOVARTIS - RX;NOVARTIS - RX;9113;;;;;;
03.612.312/0001-44;NUTRIPORT COMERCIAL LTDA;NUTRIPORT COMERCIAL LTDA;9250;;;;;;
05.044.984/0001-26;OFTA - RX (G);OFTA - RX (G);9075;;;;;;
05.044.984/0001-26;OFTA - RX I;OFTA - RX I;9075;;;;;;
57.507.378/0003-65;OFTA - RX II;OFTA - RX II;9075;;;;;;
57.507.378/0014-18;OFTA - RX III;OFTA - RX III;9075;;;;;;
32.233.064/0003-90;OLLIE COSMETICOS LTDA;OLLIE COSMETICOS LTDA;800892;;;;;;
10.345.462/0003-66;OMRON;OMRON;8994;;;;;;
38.391.432/0001-43;OPELLA SANOFI - OTC;OPELLA SANOFI - OTC;9285;;;;;;
45.987.013/0006-49;ORGANON - RX;ORGANON - RX;8739;;;;;;
61.072.393/0039-06;PFIZER - RX;PFIZER - RX;8200;;;;;;
33.051.491/0012-01;PIERRE FABRE I;PIERRE FABRE I;8804;;;;;;
33.051.491/0001-59;PIERRE FABRE II;PIERRE FABRE II;8804;;;;;;
73.856.593/0011-38;PRATI DONADUZZI;PRATI DONADUZZI;9516;;;;;;
34.506.209/0001-43;PRINCIPIA SP COMERCIO DE COSMETICOS LTDA;PRINCIPIA SP COMERCIO DE COSME;800266;;;;;;
59.476.770/0025-25;PROCTER - OTC;PROCTER - OTC;6706;;;;;;
01.358.874/0016-64;PROCTER GAMBLE - FRD ABS;PROCTER GAMBLE - FRD ABS;7294;;;;;;
01.358.874/0013-11;PROCTER GAMBLE - HB;PROCTER GAMBLE - HB;7294;;;;;;
22.094.233/0002-14;QUIFA FARMA - PERRIGO;QUIFA FARMA - PERRIGO;8669;;;;;;
31.570.067/0003-57;RECKITT - HB;RECKITT - HB;7464;;;;;;
31.570.067/0003-57;RECKITT - OTC;RECKITT - OTC;7464;;;;;;
23.552.212/0002-68;ROCHE - DIABETES;ROCHE - DIABETES;8096;;;;;;
61.286.647/0010-07;SANDOZ - GENERICO;SANDOZ - GENERICO;8594;;;;;;
61.286.647/0010-07;SANDOZ - RX;SANDOZ - RX;8594;;;;;;
61.286.647/0010-07;SANDOZ - SIMILARES;SANDOZ - SIMILARES;8594;;;;;;
10.588.595/0010-92;SANOFI - RX I;SANOFI - RX I;9188;;;;;;
10.588.595/0013-35;SANOFI - RX II;SANOFI - RX II;9188;;;;;;
10.588.595/0013-35;SANOFI (G);SANOFI (G);9188;;;;;;
55.163.042/0001-35;SEMINA;SEMINA;9104;;;;;;
44.145.845/0032-47;SOFTYS;SOFTYS;6410;;;;;;
15.759.157/0005-04;SUPERA - RX;SUPERA - RX;9231;;;;;;
07.578.713/0001-86;SUPLEY LABORATORIO DE ALIMENTOS E SUPLE;SUPLEY LABORATORIO DE ALIMENTO;802608;;;;;;
11.635.171/0001-03;TAKEDA - RX;TAKEDA - RX;5335;;;;;;
16.927.572/0003-12;THERAMEX;THERAMEX;9328;;;;;;
61.517.397/0001-88;THERASKIN;THERASKIN;6027;;;;;;
33.078.528/0007-28;TORRENT - GENERICO;TORRENT - GENERICO;8257;;;;;;
33.078.528/0007-28;TORRENT - RX;TORRENT - RX;7111;;;;;;
61.455.192/0002-04;TRB;TRB;7154;;;;;;
60.665.981/0009-75;UNIAO QUIMICA - GENERICO;UNIAO QUIMICA - GENERICO;8106;;;;;;
60.665.981/0009-75;UNIAO QUIMICA - GENOM;UNIAO QUIMICA - GENOM;8106;;;;;;
60.665.981/0009-75;UNIAO QUIMICA - OTC;UNIAO QUIMICA - OTC;8106;;;;;;
61.068.276/0307-80;UNILEVER;UNILEVER;6145;;;;;;
11.806.723/0007-94;UNILEVER - KIBON;UNILEVER - KIBON;9093;;;;;;
30.222.814/0001-31;VITAMEDIC - GENERICO;VITAMEDIC - GENERICO;9472;;;;;;
30.222.814/0001-31;VITAMEDIC - SIMILARES;VITAMEDIC - SIMILARES;9472;;;;;;
56.992.217/0001-80;WELEDA;WELEDA;9040;;;;;;
61.100.004/0021-80;ZAMBON;ZAMBON;7260;;;;;;
