CNPJ Industria;Razao Social;Nome Fantasia;Codigo Interno;Nome do representante;Telefone do representante;E-mail do representante;WhatsApp do representante;Segmento;Faturamento
83044016004706;SEARA COMERCIO DE ALIMENTOS LT;SEARA COMERCIO DE ALIMENTOS LT;118699;;(81) 35124700;;;; 2.826.245,16 
63310411003623;TRES CORACOES ALIMENTOS SA;CD RECIFE C ALIMENTOS;122203;;(08) 005910232;;;; 2.686.130,27 
14049467006767;LACTALIS DO BRASIL;LACTALIS DO BRASIL;114383;;(81) 35185628;;;; 2.474.092,00 
35385871000155;MADSAEL COM. HORTIFRUTIGRANJEIROS LTDA;MADSAEL COMERCIAL HORTIFRUTIGR;113000;;(83) 358627435;;;; 2.424.910,81 
7526557002153;AMBEV S.A;AMBEV S.A;109606;;0;;;; 2.331.096,66 
7050184000658;IND.DE BEBIDAS IGARASSU LTDA;IND.DE BEBIDAS IGARASSU LTDA;179;;(81) 35437550;;;; 2.291.711,74 
7050184000496;INDUSTRIA DE BEBIDAS IGARASSU LTDA;INDUSTRIA DE BEBIDAS IGARASSU;84;;(11) 21189500;;;; 2.291.651,98 
5253499000162;DCL  CARDEAL DISTRIBUIDORA LTDA;CARDEAL;15938;;(81) 37254005;;;; 2.288.649,54 
2678694000227;RECIFE DOCES E CARAMELOS LTDA;RECIFE DOCES E CARAMELOS LTDA;105414;;(81) 32027878;;;; 2.270.460,39 
11507415000172;IND. REUNIDAS RAYMUNDO DA FONTE S/A;INDUSTRIAS REUNIDAS RAYMUNDO;10090;;(81) 34378200;;;; 2.230.862,08 
50221019006339;HNK BR IND DE BEBIDAS LTDA;HNK BR IND DE BEBIDAS LTDA;117544;;0;;;; 2.221.202,08 
83310441003485;COOPERATIVA CENTRAL AURORA ALIMENTOS;COOPERATIVA CENTRAL AURORA ALI;17159;;(81) 21224400;;;; 2.142.382,82 
55382558000170;NORDESTE FRUTAS LTDA;NORDESTE FRUTAS LTDA;187;;(81) 996578810;;;; 1.974.189,45 
49598603000126;KARNE E FRIOS ATACADO LTDA;KARNE E FRIOS ATACADO LTDA;227;;(81) 999999999;;;; 1.850.975,51 
5429222000148;DIST. E LOG. DE PERNAMBUCO IMP. EXP;DISTRIBUIDORA E LOGISTICA DE P;16470;;(81) 34456579;;;; 1.789.814,53 
12815437000162;PANCRISTAL LTDA;PANCRISTAL LTDA;100137;;(81) 36341777;;;; 1.786.904,36 
4054534000151;DILNOR DIST. E LOGISTICA NORD. LTDA;DILNOR-DIST. E LOGISTICA NORD.;6351;;(81) 33161033;;;; 1.773.075,17 
5554866000168;RUBI DISTRIBUIDORA DE ALIMENTOS LTDA;RUBI DISTRIBUIDORA DE ALIMENTO;16322;;(81) 991598212;;;; 1.598.928,43 
3008270000137;MARCONIEL FONTE OLIVEIRA;MARCONIEL FONTE OLIVEIRA;103578;;(81) 32521488;;;; 1.538.448,10 
17467515003548;CAFE TRES CORACOES S A;CAFE TRES CORACOES S A;108359;;0;;;; 1.510.841,97 
1551272000142;ASA INDUSTRIA E COMERCIO LTDA;ASA INDUSTRIA E COMERCIO LTDA;6874;;(81) 30735000;;;; 1.484.630,74 
50221019005286;HNK BR INDUSTRIA DE BEBIDAS LTDA;HNK BR IND DE BEBIDAS LTDA;103349;;(81) 37974700;;;; 1.455.195,08 
20886896000246;VALELAC INDUSTRIA DE LATICINIOS EIRELI;VALELAC RECIFE;117480;;(87) 38581705;;;; 1.403.848,29 
20886896000165;VALELAC IND DE LATICINIOS EIRE;VALELAC IND DE LATICINIOS EIRE;116947;;(81)32741010;;;; 1.403.848,29 
35637036000165;AGRICOLA SERRANA LTDA;AGRICOLA DA SERRA;121274;;(81) 845607828;;;; 1.379.302,45 
24150377000195;KARNEKEIJO LOGISTICA INTEGRADA LTDA;KARNE KEIJO LOG INTEGRADA LTDA;6440;;(81) 21218899;;;; 1.370.400,32 
7408612000590;SITIO BARREIRAS FRUTICULTURA LTDA;SITIO BARREIRAS FRUTICULTURA L;252;;(81) 999999999;;;; 1.330.259,24 
40843179000163;COMERCIAL HORTIFRIOS LTDA;HORTIFRIOS;109;;(81) 999999999;;;; 1.319.467,50 
69953388000141;INTERBRASIL DISTRIBUICAO LTDA - ME;INTERBRASIL DISTRIBUICAO LTDA;108308;;(81) 30251771;;;; 1.291.773,83 
9104065000151;AGRICOLA QDELICIA FRUTAS LTDA EPP;AGRICOLA QDELICIA FRUTAS LTDA;122726;;(81) 32521132;;;; 1.289.716,04 
9175609000176;SOMAR COMERCIO E TRANSPORTE DE ALIMENTOS;SOMAR COMERCIO E TRANSPORTE DE;101567;;(81) 35352980;;;; 1.257.829,38 
31565104015956;PEPSICO DO BRASIL LTDA;PEPSICO DO BRASIL LTDA;8214;;(81) 21385702;;;; 1.252.006,71 
1371508000592;FRUTART COM DE PRODUTOS AGRICOLAS LTDA;FRUTART COM DE PROD AGRICOLAS;122734;;(81) 32995004;;;; 1.058.630,27 
35716968000101;REDIJOHN DIST DE PROD HIG LIMP E AUT;REDIJOHN;11460;;(81) 34622757;;;; 1.058.146,47 
10960053000108;FOCUS DISTRIBUIDORA LTDA;FOCUS DISTRIBUIDORA LTDA;107832;;(81)32277011;;;; 1.056.652,52 
41407031000149;KAIO RODRIGGO COM.VAR.HORTIFRUTIGRANJEIR;KAIO RODRIGGO COM.VAR.HORTIFRU;273;;(81) 996364927;;;; 1.039.593,94 
5476815001056;PARATY ATACADO E DISTRIBUIDORA LTDA;PARATY ATACADO E DISTRIBUIDORA;120766;;(81) 33782222;;;; 1.025.850,81 
31584373000180;PESSOA PERNAMBUCO DISTRIBUIDOR DE ALIMEN;ANDRADE DISTRIBUIDOR;156;;(82) 35229900;;;; 998.987,41 
43866727000169;GRAND MARCA DISTRIBUIDORA LTDA;GRAND MARCA DISTRIBUIDORA LTDA;126098;;(81) 33437820;;;; 956.263,55 
4609653000395;DIST DE ALIMENTOS MARFIM LTDA;DISTRIBUIDORA DE ALIMENTOS MAR;6556;;(81)33437820;;;; 946.992,84 
35401447000157;BOM LEITE INDUSTRIAL LTDA;BOM LEITE INDUSTRIAL LTDA;100609;;(81) 30812020;;;; 910.229,60 
15132490000319;SB DISTRIBUIDORA FRUTAS LTDA;SB DISTRIBUIDORA FRUTAS LTDA;115622;;(74)35413507;;;; 873.585,77 
24263162000180;SANTISTA FRIGORIFICO & DIST. LTDA;SANTISTA FRIG. & DIST. LTDA;17060;;(81) 31171717;;;; 855.420,94 
11603289000150;REPRESENTACOES SANTISTA LTDA;REPRE FD BUSINESS;103209;;(81) 31171717;;;; 823.883,86 
19111651000187;FRUTAS VALE SIRIJI LTDA - ME;FRUTAS VALE SIRIJI;109754;;(81) 36391116;;;; 813.729,95 
5157816000147;E.B.A DISTRIBUIDORA LTDA;E.B.A DISTRIBUIDORA LTDA;15725;;(81) 40090500;;;; 810.502,99 
1682695000959;NOTARO ALIMENTOS LTDA;ESCRITORIO REC;150;;(81)21386015;;;; 769.450,55 
10384022000318;USINA IPOJUCA S/A;USINA IPOJUCA S/A;103934;;(81) 35611150;;;; 741.024,07 
7757005000102;LATICINIOS VERDE CAMPO S.A;TROP BRASIL;116;;(81) 33738110;;;; 732.942,28 
8215522000112;NORONHA - IND. E COM. DE PESCADOS LTDA;NORONHA - INDUSTRIA E COMERCIO;108839;;(81) 21389100;;;; 717.656,45 
13143802000798;YOKI DISTRIBUIDORA DE ALIMENTOS LTD;YOKI DIST.DE ALIMENTOS LTDA;121991;;(81) 21222780;;;; 678.239,14 
7757005000617;TROP FRUTAS DO BRASIL LTDA;TROP FRUTAS DO BRASIL LTDA;116980;;(35) 38293000;;;; 659.626,53 
10907590000194;NAT GEO DISTRIBUICAO DE ALIMENTOS LTDA;NAT GEO DIST.DE ALIMENTOS LTDA;11363;;(81) 21029800;;;; 631.828,29 
56053237000195;ATACAREJO  IGUACU TLDA;ATACAREJO  IGUACU TLDA;240;;( 8) 199999999;;;; 618.536,44 
42059615000133;INDUSTRIA DE LATICINIO E DERIVADOS LACTE;POLILAC;122815;;(87) 96376753;;;; 557.617,19 
3945148000197;PRODUTOS DA CASA LTDA ME;PRODUTOS DA CASA LTDA ME;104019;;(81) 34552528;;;; 544.455,01 
10808491000155;MOINHO PETINHO INDUSTRIA E COMERCIO LTDA;MOINHO PETINHO INDUSTRIA E COM;6670;;(81) 21261488;;;; 529.649,76 
7412776000168;DML DIST.DE ALIM.EMB.EIRELI;DML DIST.DE ALIM.EMB.EIRELI;120;;(81) 95685555;;;; 506.609,85 
66471517001734;DPC DISTRIBUIDOR ATACADISTA S/A;DPC DISTRIBUIDOR ATACADISTA S/;113573;;(33) 33290000;;;; 486.787,66 
16622166000937;CERVE.PETROPOLIS DE PERNAMBUCO;CERVE.PETROPOLIS DE PERNAMBUCO;112763;;(15)33639000;;;; 482.638,85 
16622166000260;CERVEJARIA PETROPOLIS DE PERNAMBUCO;CERVEJARIA PET.PERNAMBUCO LTDA;110531;;(81) 32641626;;;; 482.638,85 
16622166001070;CERVEJARIA PETROP.PERNAMBUCO;CERVEJARIA PETROP.PERNAMBUCO;112429;;0;;;; 482.638,85 
16622166000775;CERVEJARIA PETROPOLIS DE PERNAMBUCO LTDA;GP;114618;;(81) 32671500;;;; 482.638,85 
16622166000694;CERVEJARIA PETROPOLIS PERNAMB.;CERVEJARIA PETROPOLIS PERNAMBU;113190;;0;;;; 477.925,81 
2340534000192;TAMBAU IND ALIMENTICIA LTDA;TAMBAU;7404;;(87)38481225;;;; 446.957,61 
13324184000278;VIGOR ALIMENTOS S.A;VIGOR ALIMENTOS S/A;112186;;(81) 32243015;;;; 433.021,08 
41232638000135;J A CALHEIROS MELO JUNIOR;J A CALHEIROS MELO JUNIOR;110884;;(81) 34712090;;;; 429.730,18 
43955509400;WALDEMIR MIRANDA NETO;WALDEMIR MIRANDA NETO;119539;;(87)999716266;;;; 412.846,47 
3226633000100;OASIS ALIMENTOS LTDA;OASIS ALIMENTOS;9563;;(81) 34385455;;;; 395.306,65 
40868234000170;SEDE DAS MIUDEZAS ATACADO LTDA;MIUDEZAS ATACADO;8095;;(81) 34811306;;;; 393.351,24 
70940994008277;PANDURATA ALIMENTOS LTDA;CDEXTREMA;120197;;(11) 25739400;;;; 388.942,07 
57066108000102;G L LEMOS DE SOUZA COMERCIO DE ALIMENTOS;SABOR DO MILHO;83;;(81) 983287356;;;; 387.845,84 
1405269000110;LATICINIO GUARARAPES LTDA;LATICINIO GUARARAPES LTDA;9547;;(81) 81763215;;;; 385.552,64 
9436688000121;LIDER DIST DE ALIMENTOS EIRELI;LIDER DIST DE ALIMENTOS LTDA;105350;;(81)34542737;;;; 377.543,72 
17090600000190;CAPRICCHE SA;CAPRICCHE SA;110620;;(08) 132054500;;;; 373.422,61 
5253499000324;DCL DISTRIBUIDORA CARDEAL LTDA;DCL DISTRIBUIDORA CARDEAL LTDA;110787;;(96) 369852156;;;; 349.664,27 
64904295001002;CAMIL ALIMENTOS S.A.;CAMIL ALIMENTOS S.A.;7781;;(81) 30488800;;;; 347.347,78 
3229795000100;TUDO NOVO INDUSTRIA DE ALIMENTOS LTDA;TUDO NOVO INDUSTRIA DE ALIMENT;17990;;(81) 33778687;;;; 341.051,26 
2089969000530;LATICINIOS BELA VISTA LTDA;LATICINIOS BELA VISTA LTDA;110566;;(62)3518000;;;; 340.768,87 
87456562001790;JOSAPAR JOAQUIM OLIVEIRA SA PARTICIPACO;JOSAPAR J. OLIVEIRA S A PARTIC;12122;;(81) 999999999;;;; 325.583,46 
1774866000112;FIPEL FRIGORIFICO INDUSTRIAL PERNAMBUCAN;FIPEL  PE;10294;;(81) 35437208;;;; 323.115,63 
43214055000964;MARTINS COMERCIO E SERVICOS DE DIST S/A;MARTINS COMERCIO DE SERVICO DE;10693;;(81) 2127531;;;; 300.943,65 
3660738000173;LEONARDO ROCHA LAMENHA COM;CASA DO BARRAQUEIRO;11738;;(81)32521243;;;; 295.978,80 
19273747000575;BARBOSA  MARQUES  MACEIO;BARBOSA   MARQUES S A;100242;;(82) 33288260;;;; 292.653,03 
8690652000107;PERNAMBUCO COMERCIO DE POLPAS LTDA;PERNAMBUCO COMERCIO DE POLPAS;100013;;(81) 34430402;;;; 290.994,67 
42013570000166;NUTRA PLUSS IND.COM.ALIMENTOS;NUTRA PLUSS IND.COM.ALIMENTOS;303;;(99) 91343135;;;; 290.994,67 
10849946000180;NOVA ARENA COMERCIO DE MATERIAL DE CONST;NOVA ARENA COMERCIO DE MATERIA;107174;;(81) 35190426;;;; 290.393,97 
17733830000120;QUALLY TRADING ATAC.ALIM.IMP.E;QUALLY TRADING ATAC.ALIM.IMP.E;124877;;(81)33722897;;;; 287.075,34 
47119588000160;CHARRUA ALIMENTOS LTDA;CHARRUA ALIMENTOS;137;;(81) 992105016;;;; 282.401,30 
61068276004860;UNILEVER BRASIL LTDA.;UNILEVER BRASIL LTDA.;123226;;(11) 37037675;;;; 278.540,49 
22568329000196;DANIELLE VANESSA DE SIQUEIRA LUNA ME;CAMPO FERTIL;115266;;(87) 99240457;;;; 278.322,14 
44862735000108;RECIFE COMERCIO DE CONGELADOS LTDA;RECIFE COMERCIO DE CONGELADOS;123536;;(81) 36286716;;;; 275.910,08 
17184596000120;OVOS SAO JOSE LTDA ME;ULTRA OVOS;251;;(81) 999812759;;;; 272.832,96 
6015530000190;AGROINDUSTRIAL FRUTNAA LTDA;AGROINDUSTRIAL FRUTNAA LTDA;116815;;(81) 36262166;;;; 271.422,96 
2870737000190;FORMAGGIO DISTRIBUICAO DE ALIMENTOS LTDA;FORMAGGIO DISTRIBUICAO DE ALIM;103756;;(81) 33415997;;;; 264.881,44 
353;FORNECEDOR INCLUSAO;FORNECEDOR INCLUSAO;100005;;0;;;; 263.867,23 
48785001810;INDAIA BRASIL AGUAS MINERAIS LTDA;INDAIA;11371;;(81) 34645060;;;; 263.564,59 
43461789000433;QUIMICA AMPARO LTDA;QUIMICA AMPARO LTDA;5754;;(71)21027084;;;; 260.847,63 
2914460044956;SEARA ALIMENTOS;SEARA ALIMENTOS;182;;(11) 31445600;;;; 256.178,06 
50955707000472;HEINZ BRASIL S A;HEINZ BRASIL S A;15504;;(62)35138200;;;; 254.734,01 
95422218000906;METALURGICA MOR SA;METALURGICA MOR SA;118397;;(81) 33197000;;;; 247.749,28 
65979973000240;LEITESOL IND E COMERCIO S A;LASERENISSIMA;15997;;(11)40347150;;;; 243.250,26 
78908266001015;MILI S.A;MILI S.A;101338;;0;;;; 241.907,47 
86531779000359;MATIOLA ALIMENTOS LTDA;MATIOLA;116734;;(48) 34341233;;;; 236.820,79 
12285276000142;SOCOCO SA IND ALIMENTICIA;SOCOCO;8397;;0;;;; 236.389,93 
13518512000196;RBB PRODUTOS DE PANIFICACAO E ALIMENTOS;RBB PRODUTOS DE PANIFICACAO E;113158;;(81) 34761625;;;; 233.971,56 
87547188000170;COOP VINICOLA AURORA LTDA;COOP VINICOLA AURORA LTDA;125725;;(54)34552001;;;; 228.636,16 
5390477000225;INGA DISTRIBUIDORA LTDA;INGA DISTRIBUIDORA LTDA;15156;;(81) 32521100;;;; 225.425,07 
22957693000148;SR FABRICACAO COM.SORV.CHOC LT;SR FABRICACAO COM.SORV.CHOC LT;122858;;0;;;; 223.756,20 
34244135000203;FATEX INDL COML IMP E EXP LTDA;TLS FIC;121517;;(19) 21097700;;;; 215.423,63 
11173911001290;UNILEVER BRASIL GELADOS DO NOR;KIBON;16128;;0;;;; 211.939,63 
28942330000115;LP IND.COM.CARNES E DERIVADOS;LP IND.COM.CARNES E DERIVADOS;125261;;(81)91252637;;;; 210.196,72 
2780640001401;REAL COMERCIAL LTDA;REAL COMERCIAL LTDA;125750;;0;;;; 199.520,08 
89738173000549;SANREMO S/A;SANREMO S/A;17353;;(81) 30107021;;;; 191.468,70 
9991639000150;CIPAN-COM IND PROD ALIMENTICIOS NORDESTE;CIPAN-COM IND PROD ALIMENTICIO;11690;;(81) 21038000;;;; 186.734,13 
15205628000109;TRAMONTINA NORDESTE S/A;TRAMONTINA;16527;;(71) 32158266;;;; 185.130,72 
59476859000114;LATICINIOS MONTE SIAO LTDA;LATICINIO MONTE SIAO;277;;(82) 99046628;;;; 182.169,60 
60498706033918;CARGILL AGRICOLA S.A;CARGILL AGRICOLA S.A (ATIVO);100382;;0;;;; 181.768,57 
5642147000107;ROSATEX DO NORDESTE PROD SANEANTES LTDA;UP PERNAMBUCO;108758;;(81)35380029;;;; 173.822,87 
2946761000166;RED BULL DO BRASIL LTDA;RED BULL;7064;;0;;;; 172.909,12 
12213443000654;INDUSTRIAS REUNIDAS CORINGA LTDA;INDUSTRIAS REUNIDAS CORINGA LT;12491;;(87) 99782803;;;; 171.465,11 
12023966003149;BONANZA SUPERMERCADOS LTDA;BONANZA;11231;;(81)37229195;;;; 171.446,43 
61752739000144;PRIETO ALIMENTOS LTDA;PRIETO ALIMENTOS LTDA;114405;;(55) 114898810;;;; 167.205,79 
32403259000170;FEIRA NOVA INDUSTRIA DE CEREAIS LTDA;FEIRA NOVA INDUSTRIA DE CEREAI;118338;;(81) 99848259;;;; 164.743,38 
12854519000116;LATICINIO FACO LTDA;LATICINIO FACO LTDA;101273;;(81) 40629399;;;; 162.367,55 
23418729487;ANTONIO CAVALCANTI CORREA DE ARAUJO;ANTONIO CAVALCANTI CORREA;219;;(81) 20113500;;;; 161.463,70 
5461395000143;LATICINIOS RODEIO LTDA;LATICINIOS RODEIO LTDA;103640;;(00) 00000000;;;; 155.476,18 
61296646000152;AURORA BEB E ALIM FINOS LTDA;AURORA BEB E ALIM FINOS LTDA;125709;;(11)36232288;;;; 151.739,52 
70174511000105;PADELLE DIST. DE UTENSILIOS DOM. LTDA;PADELLE DIST. DE UTENS. LTDA;8087;;(81) 32511555;;;; 150.277,95 
10737656000145;LEONAM INDUSTRIA E COMERCIO LTDA - EPP;LEONAM IND. E COMERCIO LTDA;105252;;(81) 999125196;;;; 149.080,41 
8812841000105;A.EVERALDO SILVA COM.DE CARVAO;A.EVERALDO SILVA COM.DE CARVAO;124893;;(81)99721331;;;; 145.224,42 
3330087000153;KI-BRASA COMERCIO LTDA;KI BRASA;103993;;(81) 34811346;;;; 145.224,42 
35898614000117;LEO BRASA;LEO BRASA;295;;(81) 999924960;;;; 145.224,42 
1778112000300;FAZENDA SANTA TEREZINHA LTDA;FRUTAS DOCE MEL;110426;;0;;;; 142.184,61 
86547619016997;PERDIGAO AGROENDUSTRIAL S.A;PERDIGAO;12149;;(81)32521098;;;; 138.174,78 
78141926000437;FOSFOREIRA BRASILEIRA LTDA;FOSFOREIRA BRASILEIRA LTDA;126276;;(42) 34215642;;;; 135.099,68 
25137580000941;CARAPITANGA  INDUSTRIA DE PESCADOS  IND;CARAPITANGA IND.PESCADOS.IND;126080;;(81) 21237049;;;; 134.102,56 
25137580000194;CARAPITANGA IND.PESCADOS DO BR;CARAPITANGA PESCADOS;126071;;(81) 999999999;;;; 134.102,56 
4909479000304;FACEPA FAB CELUL PAPEL AM.S.A;FACEPA;6327;;(92)99831518;;;; 132.204,30 
5742334000154;JB INDUSTRIA DE ALIMENTOS LTDA;JB INDUSTRIA DE ALIMENTOS LTDA;125369;;(81) 981948696;;;; 126.599,09 
21877243000182;ARRUDA E MELO COM E DIST DE AL E BEB LTD;AEM COM E DISTRIBUICAO PE;119334;;(81) 33142120;;;; 125.794,75 
10904357000158;SEVERINO FLORIANO DE OLIVEIRA EPP;SEVERINO FLORIANO DE OLIVEIRA;105457;;(81) 86873507;;;; 125.701,70 
34478515000113;M DE H CAVALCANTE ALIMENTOS;M DE H CAVALCANTE ALIMENTOS;123110;;(81) 991967229;;;; 123.185,65 
23870762000144;ROMAGUERA PESCADOS E FRUTOS DO MAR LTDA;ROMAGUERRA PESCADOS;119466;;(81) 33171328;;;; 119.972,79 
57830137000190;COSTA DOURDAS COM.REPRES.LTDA;COSTA DOURDAS COM.REPRES.LTDA;225;;(81) 999999999;;;; 119.803,39 
23301720000192;ALIMENTOS E DELICIAS DA SERRA LTDA;BOLO DE ROLO DA SERRA;115010;;(81) 999004176;;;; 119.653,62 
7534303000133;COMAL COM. ATAC DE ALIMENTOS;COMAL COM.ATACADISTA DE ALIMEN;104221;;(81)21236969;;;; 118.191,74 
18434711000130;DEMARCHI COMERCIO DE ALIMENTOS LTDA - EP;DE MARCHI NORDESTE;112437;;(81) 32522144;;;; 115.434,40 
9250892000153;FEITOZA COMERCIO E DISTRIBUICAO LTDA;FEITOZA COMERCIO E DIST. LTDA;100030;;(81) 32247658;;;; 114.526,53 
8586619000131;L&B COMERCIO DE PRODUTOS ALIMENTICIOS LT;L&B COMERCIO DE PRODUTOS ALIME;105724;;(81) 31328820;;;; 114.526,53 
9362618000176;DF DISTRIBUIDORA DE ALIMENTOS;DF DISTRIBUIDORA DE ALIMENTOS;100102;;(81)32521094;;;; 112.056,49 
28677875000141;MELZEM COMERCIO DE MEL LTDA;MELZEM COMERCIO DE MEL LTDA;115495;;(81) 83542385;;;; 109.984,53 
23799994000153;DEL. IND. DE SUCOS DE FRUTAS NAT. LTDA;DELUTTI SUCOS;117994;;(81) 34620053;;;; 109.741,59 
46364890000111;WELLINGTON JONES DA SILVA GELO LTDA;GELITO;123463;;(81) 35279237;;;; 109.477,16 
41099599000140;EDIVALDO J DOS SANTOS EPP;EDIVALDO J DOS SANTOS EPP;105660;;(81) 35192153;;;; 109.477,16 
31119842000190;ENVASADORA DE AGUA GELITO LTDA;ENVASADORA DE AGUA GELITO LTDA;117323;;(81)35279237;;;; 109.477,16 
8062935000104;L. O. SOBRINHO LTDA;L. O. SOBRINHO LTDA;116378;;(08) 198570189;;;; 109.431,28 
95422218000140;METALURGICA MOR S A;METALURGICA MOR S A;110175;;(51)21067641;;;; 106.358,63 
72752371000130;TREVO PRODUCAO DE PADARIA;TREVO PRODUCAO DE PADARIA;119750;;0;;;; 106.306,71 
61056323000191;PRUDENTE DIST.DE BEBIDAS LTDA;CERVEJA IMPERIO;214;;(54) 34640021;;;; 104.094,92 
9011959000105;F.N.J COM.ATAC.DE LEITE E LAC;F.N.J COM.ATAC.DE LEITE E LAC;107271;;(81)34470726;;;; 103.487,72 
8385685000658;ALIMENTOS TIA SONIA LTDA;TIA SONIA;121703;;(81)7734241007;;;; 101.678,18 
