CNPJ Industria;Razao Social;Nome Fantasia;Codigo Interno;Nome do representante;Telefone do representante;E-mail do representante;WhatsApp do representante;Segmento;Faturamento
12819074001024;MAURICEA ALIMENTOS DO NORDESTE LTDA;MAURICEA ALIMENTOS DO NORDESTE;102121;;(81) 36331330;;;; 56.488.026,37 
3721769001592;MASTERBOI LTDA;MASTERBOI LTDA;6483;;(81) 813265990;;;; 54.856.503,85 
8305623000184;ATACAMAX IMPORTADORA DE ALIMENTOS LTDA;ATACAMAX IMPORTADORA DE ALIMEN;100404;;(81) 34190103;;;; 35.790.647,15 
8868231000123;CIA SANTOS DIST. E IMPORT. DE HORT. LTDA;VERDAO;104515;;(81) 35230730;;;; 17.245.330,02 
8593008000110;DISTCARNES - DISTRIBUIDORA DE CARNES LTD;DISTCARNES - DISTRIBUIDORA DE;102865;;(81) 41410027;;;; 17.122.478,61 
2916265013733;JBS SA;JBS SA;106313;;(94) 34247723;;;; 14.112.454,95 
40864613000191;A & B ALIMENTOS E BEBIDAS LTDA;DUVAREJO;12211;;(81) 21019999;;;; 10.855.895,06 
42328515000246;CS P DISTRIBUIDORA DE CARNES LTDA;;125270;;(81) 71215037;;;; 10.403.626,92 
7715769000135;AKI CARNES COMERCIO LTDA;AKI CARNES COMERCIO LTDA;111260;;(81)33634601;;;; 10.251.425,86 
1838723016201;BRF S.A.;BRF S.A.;100080;;(81) 31141578;;;; 9.967.669,45 
36492502000124;CHARQUE 500 IND. E COMERCIO LTDA;CHARQUE 500 IND. E COM. LTDA;107751;;(21) 972644639;;;; 8.986.409,15 
7620045000108;HB ALIMENTOS LTDA;HB ALIMENTOS LTDA;104523;;(81) 32526666;;;; 7.231.807,72 
7164263000185;KADAO IND.COM. ALIMENTOS LTDA;KADAO IND.COM DE ALIMENTOS LTD;110060;;(84)36561208;;;; 7.114.716,67 
30849894000150;MARTERRA DISTRIBUIDORA LTDA;MARTERRA DISTRIBUIDOR LTDA;124583;;(81) 997395863;;;; 7.107.270,95 
50312948000150;MCA ALIMENTOS LTDA;RECIFE FRIOS;105;;(81) 987582991;;;; 6.761.630,56 
58396461000105;AGIL ATACAREJO DE ALIMENTOS LTDA;AGIL ATACAREJO DE ALIMENTOS LT;226;;(81) 999999999;;;; 6.761.630,56 
8825576000108;GOLD STYLE IMP. E EXP. DE ALIMENTOS LTDA;GOLD STYLE IMPORTACAO E EXPORT;112100;;(81) 37214667;;;; 6.683.904,76 
30354209000114;GRIFOS COMERCIO DE ALIMENTOS LTDA;GRIFOS COMERCIO DE ALIMENTOS L;116653;;(81) 21218989;;;; 6.666.982,23 
7196033003970;NORSA REFRIGERANTES S.A;NORSA REFRIGERANTES S.A;111295;;(81) 21258500;;;; 6.494.747,17 
69944973000185;DIA DISTRIBUICAO E IMPORTACAO AFOGADOS L;DIA DISTRIBUICAO E IMPORTACAO;6629;;(81) 34282020;;;; 5.566.046,04 
10483444000774;ALVOAR LACTEOS NORDESTE S/A;ALVOAR LACTEOS NORDESTE S/A;122122;;(87) 38581560;;;; 5.562.605,12 
7206816001197;M. DIAS BRANCO S.A.IND.E COMER.ALIMENTOS;FILIAL BAYEUX;8265;;(85) 40055500;;;; 5.240.481,64 
48186898000160;CHARQUE SUPREMA LTDA;CHARQUE SUPREMA;101;;(81) 36285787;;;; 5.222.720,25 
43340312000580;LACTALIS COMERCIO E DIST DE ALM LTDA;LACTALIS COMERCIO E DIST DE AL;310;;(47) 34069339;;;; 4.948.184,00 
6668000146;COMERCIAL VITA NORTE LTDA;YOKI;6378;;(81)21278400;;;; 4.624.050,52 
60409075013998;NESTLE BRASIL LTDA.;NESTLE BRASIL LTDA.;109827;;(81) 34796591;;;; 3.813.159,16 
44459499000680;TRIELO COMERCIO,EXP. E IMP.DE ALIM. LTDA;TRIELO COMERCIO, EXPORTACAO;126527;;(83) 30338917;;;; 3.741.876,11 
7526557002072;AMBEV S.A.;FILIAL LEVEDURA;109622;;(08) 008871111;;;; 3.601.318,79 
7526557002315;AMBEV SA  CDD OLINDA;CDD OLINDA;109614;;(08) 008871111;;;; 3.579.530,78 
60409075019252;NESTLE BRASIL LTDA;NESTLE BRASIL LTDA;10723;;(81)32528650;;;; 3.406.816,13 
12620757000167;D&D ANGEIRAS DISTRIBUIDORA RECIFE - REPR;RECIFE DISTRIBUIDORA;104388;;(81) 32335900;;;; 3.351.368,68 
20901756000119;LBE INDUSTRIA DE LATICINIOS E DERIVADOS;LATICINIOS BOA ESPERANCA;112003;;(87) 37612820;;;; 3.329.272,41 
11143238000192;BGM INDUSTRIA DE PANIFICACAO LTDA;BGM INDUSTRIA DE PANIFICACAO L;110663;;(81) 34714511;;;; 3.183.437,94 
38028199000139;JFC PRODUTOS AGRICOLAS LTDA;2 MFC;122807;;(81) 37371000;;;; 3.071.081,86 
2916265009620;JBS S A;JBS S A;106712;;(63) 35492300;;;; 2.990.591,05 
35402759000690;BIMBO DO BRASIL LTDA;BIMBO DO BRASIL LTDA;115339;;(11) 13075997;;;; 2.856.915,20 
10334488000309;AUJO DISTRIBUIDORA LTDA;AUJO DISTRIBUIDORA;109797;;(81) 32314516;;;; 2.849.980,72 
8811226003876;SAO BRAZ S/A IND E COM DE ALIMENTOS;SAO BRAZ;10219;;(83) 32164721;;;; 2.842.350,09 
21992946005706;ALVOAR LACTEOS S A;EMBARE;108871;;(37) 32610101;;;; 2.837.630,17 
